,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
343,Daylam Meddah,fr FRA,DF,Pau FC,21,2002,7,6,448,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,98f4acf7
344,Houboulang Mendes,gw GNB,DF,Troyes,26,1998,29,28,2493,27.7,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,1545cf15
345,Junior Mendes,es ESP,FW,Guingamp,22,2001,14,1,300,3.3,2,1,3,2,0,0,0,0,0.60,0.30,0.90,0.60,0.90,Matches,6f991209
346,Alexandre Mendy,gw GNB,FW,Caen,30,1994,30,28,2559,28.4,8,2,10,7,1,3,4,0,0.28,0.07,0.35,0.25,0.32,Matches,e067808c
347,Arial Mendy,sn SEN,DF,Grenoble Foot,29,1994,22,16,1391,15.5,0,1,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matches,9f0f4b49
348,Bissenty Mendy,sn SEN,DF,Red Star,32,1991,13,11,984,10.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,c65e915d
349,Formose Mendy,sn SEN,DF,Lorient,23,2001,22,12,1225,13.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,c21983bf
350,Oucasse Mendy,fr FRA,MFFW,Martigues,23,2001,29,17,1695,18.8,5,1,6,4,1,1,3,0,0.27,0.05,0.32,0.21,0.27,Matches,94082a2f
351,Blondon Meyapya,cm CMR,DF,Red Star,23,2001,12,9,803,8.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,10c215e7
352,Tom Meynadier,fr FRA,DF,Bastia,24,2000,27,20,1760,19.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,41a20091
353,Antoine Mille,fr FRA,MFFW,Pau FC,26,1997,33,28,2484,27.6,5,4,9,4,1,1,8,0,0.18,0.14,0.33,0.14,0.29,Matches,0459445a
354,Léo Milliner,fr FRA,DF,Caen,18,2006,7,1,227,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,328741a4
355,Iyad Mohamed,km COM,MF,Pau FC,23,2001,19,16,1423,15.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,04ccaee7
