,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
78,Alexandre Brito,pt POR,MF,Sporting CP,19,2005,2,1,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eac51d7b
79,Rafael Brito,pt POR,MF,Casa Pia,22,2002,22,12,1011,11.2,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,447390cc
80,Tiago Brito,pt POR,DF,Estoril,20,2004,4,0,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72ed4239
81,Bruma,pt POR,MFFW,Braga,29,1994,17,13,1208,13.4,7,5,12,4,3,4,1,0,0.52,0.37,0.89,0.30,0.67,Matches,5caa62a7
82,Bruma,pt POR,FWMF,Benfica,29,1994,10,5,487,5.4,1,2,3,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches,5caa62a7
83,Jonathan Buatu,ao ANG,DF,Gil Vicente FC,30,1993,21,20,1824,20.3,0,2,2,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,39d8474f
84,Leonel Bucca,ar ARG,MFFW,Estrela,25,1999,30,16,1346,15.0,2,2,4,2,0,0,8,0,0.13,0.13,0.27,0.13,0.27,Matches,c2d7780d
85,Leonardo Buta,pt POR,DF,Moreirense,22,2002,7,5,508,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dee3d535
86,Adrián Butzke,es ESP,FW,Nacional,25,1999,10,5,484,5.4,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,505dce2b
87,Arthur Cabral,br BRA,FW,Benfica,26,1998,21,2,376,4.2,2,0,2,2,0,1,2,0,0.48,0.00,0.48,0.48,0.48,Matches,a820e429
88,Daniel Cabral,br BRA,MF,Estrela,22,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c080bb5e
89,Jovane Cabral,cv CPV,FWMF,Estrela,26,1998,26,13,1154,12.8,2,1,3,2,0,1,4,0,0.16,0.08,0.23,0.16,0.23,Matches,e34e086c
