,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
726,Balázs Tóth,hu HUN,GK,Blackburn,27,1997,34,34,3058,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e6eb693d
727,Mo Touré,au AUS,FW,Norwich City,21,2004,11,7,589,6.5,9,3,12,9,0,1,2,0,1.38,0.46,1.83,1.38,1.83,Matches,8ac64b4e
728,Lewis Travis,eng ENG,MF,Derby County,27,1997,27,24,2148,23.9,0,1,1,0,0,0,12,1,0.00,0.04,0.04,0.00,0.04,Matches,33928d3a
729,Lewis Travis,eng ENG,MF,Blackburn,27,1997,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33928d3a
730,Sondre Tronstad,no NOR,MF,Blackburn,29,1995,29,28,2381,26.5,0,2,2,0,0,0,8,0,0.00,0.08,0.08,0.00,0.08,Matches,50e41224
731,Scott Twine,eng ENG,MF,Bristol City,26,1999,45,42,3302,36.7,11,6,17,11,0,0,5,0,0.30,0.16,0.46,0.30,0.46,Matches,5a425cab
732,Josh Tymon,eng ENG,DF,Swansea City,26,1999,45,44,3968,44.1,1,9,10,1,0,0,10,0,0.02,0.20,0.23,0.02,0.23,Matches,efe6f6ac
733,Ike Ugbo,ca CAN,FW,Sheffield Weds,26,1998,21,6,631,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8a53d24b
734,Franco Umeh-Chibueze,ie IRL,MF,Portsmouth,20,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8e526344
735,Harvey Vale,ie IRL,MF,QPR,21,2003,31,26,2154,23.9,4,5,9,4,0,0,3,0,0.17,0.21,0.38,0.17,0.38,Matches,a70182a5
736,Pol Valentín,es ESP,MFDF,Preston,28,1997,33,22,2005,22.3,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,1043a909
737,Yan Valery,tn TUN,MFDF,Sheffield Weds,26,1999,23,23,2049,22.8,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,531a4aa8
738,Jonathan Varane,mq MTQ,MF,QPR,23,2001,36,29,2352,26.1,1,2,3,1,0,0,5,0,0.04,0.08,0.11,0.04,0.11,Matches,4ade359f
739,Rocco Vata,ie IRL,MF,Watford,20,2005,12,6,523,5.8,2,2,4,2,0,0,0,0,0.34,0.34,0.69,0.34,0.69,Matches,a444355f
740,Will Vaulks,wls WAL,MF,Oxford United,31,1993,39,18,1948,21.6,1,0,1,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,Matches,7760b885
741,Jannik Vestergaard,dk DEN,DF,Leicester City,32,1992,31,29,2605,28.9,3,0,3,3,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,1900032e
742,Carlos Vicente,es ESP,MF,Birmingham City,26,1999,17,10,995,11.1,3,1,4,3,0,0,2,0,0.27,0.09,0.36,0.27,0.36,Matches,90df343e
743,Josh Vickers,eng ENG,GK,Derby County,29,1995,7,7,625,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,20f077eb
744,Lawrence Vigouroux,cl CHI,GK,Swansea City,31,1993,45,45,4050,45.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a949d040
745,Žan Vipotnik,si SVN,FW,Swansea City,23,2002,44,35,2940,32.7,23,3,26,18,5,5,2,0,0.70,0.09,0.80,0.55,0.64,Matches,15aa23ee
746,Radek Vítek,,GK,Bristol City,21,2003,41,41,3690,41.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d617bff6
747,Andrija Vukčević,me MNE,MFDF,Preston,28,1996,29,16,1256,14.0,0,2,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,eb4fd509
748,Zak Vyner,ke KEN,DFMF,Bristol City,28,1997,27,27,2321,25.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,a8fe5a96
749,Zak Vyner,ke KEN,MF,Wrexham,28,1997,8,5,403,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8fe5a96
750,Thomas Waddingham,au AUS,FW,Portsmouth,20,2005,6,0,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8d968b1d
751,Kai Wagner,de GER,DF,Birmingham City,28,1997,16,16,1398,15.5,0,3,3,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,fdc715d9
