,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
433,Yasin Özcan,tr TUR,DF,Kasımpaşa,18,2006,34,33,2783,30.9,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,Matches,3c841afd
434,Ogün Özçiçek,,MF,Gaziantep,25,1999,25,11,1100,12.2,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,6057d4ff
435,Arda Özçimen,tr TUR,GK,Göztepe,22,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,111e4cd3
436,Süleyman Özdamar,tr TUR,DF,BB Bodrumspor,31,1993,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f7afcb97
437,Berat Özdemir,tr TUR,MF,Başakşehir,26,1998,33,23,2075,23.1,0,2,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches,90ba61ce
438,Yusuf Özdemir,tr TUR,MFDF,Alanyaspor,23,2001,33,31,2661,29.6,5,2,7,5,0,0,10,1,0.17,0.07,0.24,0.17,0.24,Matches,fc1e9483
439,Berke Özer,tr TUR,GK,Eyüpspor,24,2000,34,34,3014,33.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0743d0ec
440,Kenan Özer,tr TUR,FWMF,BB Bodrumspor,36,1987,7,0,103,1.1,1,0,1,0,1,1,1,0,0.87,0.00,0.87,0.00,0.00,Matches,ef870342
441,Batuhan Özgan,,DF,Kayserispor,17,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,39277d9f
442,Taha Özmert,,MF,Antalyaspor,18,2006,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ad50d9c
443,Bahadır Öztürk,tr TUR,DF,Antalyaspor,28,1995,10,9,652,7.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5ac0402b
444,Mithat Pala,,MFDF,Rizespor,23,2000,33,20,1820,20.2,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,d1379e43
445,Murat Paluli,tr TUR,DF,Sivasspor,29,1994,31,31,2736,30.4,1,4,5,1,0,0,8,2,0.03,0.13,0.16,0.03,0.16,Matches,2f5b4f08
