,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
405,Jose Matos,es ESP,DF,Cádiz,29,1995,27,19,1715,19.1,1,2,3,1,0,0,4,1,0.05,0.10,0.16,0.05,0.16,Matches,19fdd28f
406,Luís Maximiano,pt POR,GK,Almería,25,1999,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3318286e
407,Pierre Mbemba,fr FRA,MF,Sporting Gijón,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d78c8e2
408,Agus Medina,es ESP,MFDF,Albacete,29,1994,40,36,3132,34.8,1,5,6,1,0,0,8,1,0.03,0.14,0.17,0.03,0.17,Matches,c70d9fb2
409,Kevin Medina,es ESP,MF,Málaga,23,2001,29,15,1221,13.6,2,3,5,2,0,0,5,1,0.15,0.22,0.37,0.15,0.37,Matches,2a968ed9
410,Fernando Medrano,es ESP,DF,Tenerife,24,2000,18,10,860,9.6,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches,d854c9d0
411,Meléndez,es ESP,MF,Albacete,25,1999,18,11,1042,11.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,4f34582d
412,Óscar Melendo,es ESP,MFFW,Cádiz,26,1997,21,8,793,8.8,2,2,4,2,0,0,0,0,0.23,0.23,0.45,0.23,0.45,Matches,379652be
413,Gonzalo Melero,es ESP,MF,Almería,30,1994,32,23,2021,22.5,4,4,8,4,0,0,7,0,0.18,0.18,0.36,0.18,0.36,Matches,3902e91b
414,David Mella,es ESP,MF,Dep. La Coruña,19,2005,33,31,2628,29.2,6,5,11,6,0,0,2,1,0.21,0.17,0.38,0.21,0.38,Matches,03abc144
415,Jérémy Mellot,fr FRA,DF,Tenerife,30,1994,40,38,3475,38.6,0,2,2,0,0,0,8,1,0.00,0.05,0.05,0.00,0.05,Matches,5fa69055
416,Diego Méndez,es ESP,MF,Eldense,20,2003,8,5,471,5.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b151a3f2
417,Nacho Méndez,my MAS,MF,Sporting Gijón,26,1998,40,39,3266,36.3,4,1,5,4,0,0,6,0,0.11,0.03,0.14,0.11,0.14,Matches,7c29adba
418,Rodrigo Mendoza,es ESP,MFFW,Elche,19,2005,21,9,853,9.5,1,2,3,1,0,0,2,0,0.11,0.21,0.32,0.11,0.32,Matches,d70a000f
419,Izan Merino,es ESP,MF,Málaga,18,2006,25,12,1193,13.3,0,2,2,0,0,0,1,1,0.00,0.15,0.15,0.00,0.15,Matches,64170f54
420,Martín Merquelanz,es ESP,MF,Eibar,29,1995,15,5,436,4.8,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,ddd5348b
421,Maikel Mesa,es ESP,FW,Tenerife,33,1991,31,15,1369,15.2,4,0,4,4,0,0,4,0,0.26,0.00,0.26,0.26,0.26,Matches,2afb7b21
422,Víctor Meseguer,es ESP,MF,Racing Sant,25,1999,18,7,731,8.1,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,428a06a7
423,Omenuke Mfulu,cd COD,MF,Dep. La Coruña,30,1994,25,14,1167,13.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,bdc14559
